localite,delegation,gouvernorat,region,code_postal,aliases,confidence
DJERBA HOUMT SOUK,DJERBA HOUMT SOUK,MEDENINE,SUD-EST,,DJERBA HOUMT SOUK;HOUMT SOUK;JERBA HOUMT SOUK,HIGH
MELLITA,DJERBA HOUMT SOUK,MEDENINE,SUD-EST,,MELLITA;MELITA,HIGH
DJERBA MIDOUN,DJERBA MIDOUN,MEDENINE,SUD-EST,,DJERBA MIDOUN;MIDOUN;JERBA MIDOUN,HIGH
BOUGHRARA,MEDENINE,MEDENINE,SUD-EST,,BOUGHRARA,HIGH
MEDENINE,MEDENINE,MEDENINE,SUD-EST,,MEDENINE;MEDNINE;MEDNIN,HIGH
SIDI MAKHLOUF,SIDI MAKHLOUF,MEDENINE,SUD-EST,,SIDI MAKHLOUF,HIGH
ZARZIS,ZARZIS,MEDENINE,SUD-EST,,ZARZIS,HIGH
BIR LAHMAR,BIR LAHMAR,TATAOUINE,SUD-EST,,BIR LAHMAR,HIGH
DHEHIBA,DHEHIBA,TATAOUINE,SUD-EST,,DHEHIBA;DHEHIBA REMADA,HIGH
GHOMRASSEN,GHOMRASSEN,TATAOUINE,SUD-EST,,GHOMRASSEN,HIGH
REMADA,REMADA,TATAOUINE,SUD-EST,,REMADA;RMADA,HIGH
SMAR,SMAR,TATAOUINE,SUD-EST,,SMAR,HIGH
BENI MHIRA,TATAOUINE,TATAOUINE,SUD-EST,,BENI MHIRA,HIGH
TATAOUINE,TATAOUINE,TATAOUINE,SUD-EST,,TATAOUINE;TATAOUIN;TATAOUIEN,HIGH
BELKHIR,BELKHIR,GAFSA,SUD-OUEST,,BELKHIR,HIGH
EL GUETAR,EL GUETAR,GAFSA,SUD-OUEST,,EL GUETAR,HIGH
EL KSAR,EL KSAR,GAFSA,SUD-OUEST,,EL KSAR;KSAR GAFSA,HIGH
GAFSA,GAFSA,GAFSA,SUD-OUEST,,GAFSA;GAFES,HIGH
MDHILLA,MDHILLA,GAFSA,SUD-OUEST,,MDHILLA;M DHILLA,HIGH
METLAOUI,METLAOUI,GAFSA,SUD-OUEST,,METLAOUI;METLAOUI,HIGH
MOULARES,MOULARES,GAFSA,SUD-OUEST,,MOULARES;MOU LARES,HIGH
REDEYEF,REDEYEF,GAFSA,SUD-OUEST,,REDEYEF;REDAYEF,HIGH
SENED,SENED,GAFSA,SUD-OUEST,,SENED,HIGH
SIDI AICH,SIDI AICH,GAFSA,SUD-OUEST,,SIDI AICH,HIGH
DOUZ,DOUZ,KEBILI,SUD-OUEST,,DOUZ,HIGH
EL FAOUAR,EL FAOUAR,KEBILI,SUD-OUEST,,EL FAOUAR;FAOUAR,HIGH
EL GOLAA,EL GOLAA,KEBILI,SUD-OUEST,,EL GOLAA;GOLAA,HIGH
JEMNA,JEMNA,KEBILI,SUD-OUEST,,JEMNA,HIGH
KEBILI,KEBILI,KEBILI,SUD-OUEST,,KEBILI;KEBILLI,HIGH
SOUK LAHAD,SOUK LAHAD,KEBILI,SUD-OUEST,,SOUK LAHAD,HIGH
DEGACHE,DEGACHE,TOZEUR,SUD-OUEST,,DEGACHE,HIGH
HAMMA DU JERID,HAMMA DU JERID,TOZEUR,SUD-OUEST,,HAMMA DU JERID;HAMMA DE JERID;HAMMA;EL HAMMA TOZEUR,HIGH
HAZOUA,HAZOUA,TOZEUR,SUD-OUEST,,HAZOUA,HIGH
NEFTA,NEFTA,TOZEUR,SUD-OUEST,,NEFTA,HIGH
TAMERZA,TAMERZA,TOZEUR,SUD-OUEST,,TAMERZA;TAMEGHZA,HIGH
TOZEUR,TOZEUR,TOZEUR,SUD-OUEST,,TOZEUR,HIGH
AEROPORT TUNIS CARTHAGE,,ARIANA,GRAND TUNIS,2035,AEROPORT TUNIS CARTHAGE|TUNIS CARTHAGE AIRPORT|CARTHAGE AIRPORT|AEROPORT CARTHAGE,HIGH
CITE ENNASR,,ARIANA,GRAND TUNIS,2037,CITE ENNASR|ENNASR|ENNACER|ENNASER|CITE ENNACER,HIGH
KHZEMA,,TUNIS,GRAND TUNIS,1082,KHZEMA|KHZEIMA|KHZIMA,HIGH
CHARGUIA,,ARIANA,GRAND TUNIS,2035,CHARGUIA|CHARGHUIA,HIGH
LAC TUNIS,,TUNIS,GRAND TUNIS,1053,LAC TUNIS|LAC 1|LAC 2|LES BERGES DU LAC,HIGH
MONTPLAISIR,,TUNIS,GRAND TUNIS,1073,MONTPLAISIR|MONT PLAISIR,HIGH
BARDO,,BARDO,GRAND TUNIS,2000,BARDO|LE BARDO,HIGH
CITE OLYMPIQUE,,TUNIS,GRAND TUNIS,1003,CITE OLYMPIQUE|OLYMPIQUE,HIGH
MELLASSINE,SEJOUMI,TUNIS,GRAND TUNIS,1111,MELLASSINE TUNIS,HIGH
LAFAYETTE,BABELKHADRA,TUNIS,GRAND TUNIS,1002,LAFAYETTE,HIGH
EL AGBA,EL AGBA,TUNIS,GRAND TUNIS,1003,EL AGBA|AGBA,HIGH
DJERBA,DJERBA HOUMT SOUK,MEDENINE,SUD-EST,4180,DJERBA|DJERBA ILE,HIGH
BOUMHAL,BOUMHAL,BEN AROUS,GRAND TUNIS,2097,BOUMHAL|BOU MHAL|BOUMHEL,HIGH
MGHIRA,MGHIRA,BEN AROUS,GRAND TUNIS,2082,MGHIRA|MGHIRA BEN AROUS,HIGH
AOUINA,EL AOUINA,TUNIS,GRAND TUNIS,1019,AOUINA|EL AOUINA|L AOUINA|LAOUINA,HIGH
SIJOUMI,SEJOUMI,TUNIS,GRAND TUNIS,1111,SIJOUMI|SEJOUMI,HIGH
