localite,delegation,gouvernorat,region,code_postal,aliases,confidence
BAB BHAR,BAB BHAR,TUNIS,GRAND TUNIS,,BAB BHAR;PORTE DE FRANCE,HIGH
BAB SOUIKA,BAB SOUIKA,TUNIS,GRAND TUNIS,,BAB SOUIKA,HIGH
CARTHAGE,CARTHAGE,TUNIS,GRAND TUNIS,,CARTHAGE;SIDI BOU SAID,HIGH
CITE EL KHADRA,CITE EL KHADRA,TUNIS,GRAND TUNIS,,CITE EL KHADRA;EL KHADRA,HIGH
DJEBEL JELLOUD,DJEBEL JELLOUD,TUNIS,GRAND TUNIS,,DJEBEL JELLOUD;JEBEL JELLOUD,HIGH
EL HRAIRIA,EL HRAIRIA,TUNIS,GRAND TUNIS,,HRAIRIA,HIGH
EL KABARIA,EL KABARIA,TUNIS,GRAND TUNIS,,KABARIA;EL KABBARIA,HIGH
EL MENZAH,EL MENZAH,TUNIS,GRAND TUNIS,,EL MENZAH;MENZAH;MANZEH,HIGH
EL OMRANE,EL OMRANE,TUNIS,GRAND TUNIS,,EL OMRANE,HIGH
EL OMRANE SUPERIEUR,EL OMRANE SUPERIEUR,TUNIS,GRAND TUNIS,,EL OMRANE SUPERIEUR,HIGH
EL OUARDIA,EL OUARDIA,TUNIS,GRAND TUNIS,,OUARDIA;EL WARDIA,HIGH
ETTAHRIR,ETTAHRIR,TUNIS,GRAND TUNIS,,ETTAHRIR;TAHRIR,HIGH
EZZOUHOUR,EZZOUHOUR,TUNIS,GRAND TUNIS,,EZZOUHOUR;ZOUHOUR,HIGH
LA GOULETTE,LA GOULETTE,TUNIS,GRAND TUNIS,,LA GOULETTE;GOULETTE,HIGH
LA MARSA,LA MARSA,TUNIS,GRAND TUNIS,,LA MARSA;MARSA;GAMMARTH,HIGH
LE BARDO,LE BARDO,TUNIS,GRAND TUNIS,,BARDO;LE BARDO,HIGH
EL KRAM,LE KRAM,TUNIS,GRAND TUNIS,,EL KRAM;LE KRAM;KRAM,HIGH
SEJOUMI,SEJOUMI,TUNIS,GRAND TUNIS,,SEJOUMI;SEJOUMI,HIGH
SIDI EL BECHIR,SIDI EL BECHIR,TUNIS,GRAND TUNIS,,SIDI EL BECHIR,HIGH
SIDI HASSINE,SIDI HASSINE,TUNIS,GRAND TUNIS,,SIDI HASSINE;SIDI HSSINE,HIGH
TUNIS,TUNIS,TUNIS,GRAND TUNIS,,TUNIS VILLE;MEDINA,HIGH
BIZERTE,BIZERTE,BIZERTE,NORD-EST,,BIZERTE;BIZERT;BIZERTA;BIZERTE VILLE,HIGH
EL ALIA,EL ALIA,BIZERTE,NORD-EST,,EL ALIA;ALIA,HIGH
GHAR EL MELH,GHAR EL MELH,BIZERTE,NORD-EST,,GHAR EL MELH;GHAR ELMELH,HIGH
GHEZALA,GHEZALA,BIZERTE,NORD-EST,,GHEZALA;GHZELA,HIGH
JOUMINE,JOUMINE,BIZERTE,NORD-EST,,JOUMINE,HIGH
MATEUR,MATEUR,BIZERTE,NORD-EST,,MATEUR,HIGH
MENZEL BOURGUIBA,MENZEL BOURGUIBA,BIZERTE,NORD-EST,,MENZEL BOURGUIBA;MZEL BOURGUIBA,HIGH
EL AZIB,MENZEL JEMIL,BIZERTE,NORD-EST,,EL AZIB,HIGH
MENZEL JEMIL,MENZEL JEMIL,BIZERTE,NORD-EST,,MENZEL JEMIL;MZEL JEMIL;MLE JEMILE;ML JEMIL,HIGH
RAFRAF,RAS JEBEL,BIZERTE,NORD-EST,,RAFRAF;RAF RAF,HIGH
RAS JEBEL,RAS JEBEL,BIZERTE,NORD-EST,,RAS JEBEL;RAS JBEL,HIGH
SEJNENE,SEJNENE,BIZERTE,NORD-EST,,SEJNENE;SAJNENE;SEJNANE,HIGH
TINJA,TINJA,BIZERTE,NORD-EST,,TINJA;TINDJA,HIGH
UTIQUE,UTIQUE,BIZERTE,NORD-EST,,UTIQUE,HIGH
BENI KHALLED,BENI KHALLED,NABEUL,NORD-EST,,BENI KHALLED,HIGH
BENI KHIAR,BENI KHIAR,NABEUL,NORD-EST,,BENI KHIAR,HIGH
BOU ARGOUB,BOU ARGOUB,NABEUL,NORD-EST,,BOU ARGOUB;BOUARGOUB,HIGH
DAR CHAABANE,DAR CHAABANE EL FEHRI,NABEUL,NORD-EST,,DAR CHAABANE;DAR CHAABANE EL FEHRI;DAR CHAABANE FEHRI,HIGH
EL HAOUARIA,EL HAOUARIA,NABEUL,NORD-EST,,EL HAOUARIA;HAOUARIA,HIGH
EL MAAMOURA,EL MAAMOURA,NABEUL,NORD-EST,,EL MAAMOURA;MAAMOURA,HIGH
GROMBALIA,GROMBALIA,NABEUL,NORD-EST,,GROMBALIA,HIGH
HAMMAM GHEZAZ,HAMMAM GHEZAZ,NABEUL,NORD-EST,,HAMMAM GHEZAZ,HIGH
HAMMAMET,HAMMAMET,NABEUL,NORD-EST,,HAMMAMET,HIGH
