code_postal,bureau_postal,localite,delegation,gouvernorat,region,aliases,source,confidence
2034,CITE EL EZZ,CITE EL EZZ,EZZAHRA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2065,CITE EL HABIB,CITE EL HABIB,EZZAHRA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2065,CITE EL HOUL,CITE EL HOUL,EZZAHRA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2034,CITE EL OULIJA,CITE EL OULIJA,EZZAHRA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2034,CITE EL OUNS,CITE EL OUNS,EZZAHRA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2065,CITE EL WARD,CITE EL WARD,EZZAHRA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2065,CITE EL YASMINE,CITE EL YASMINE,EZZAHRA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2034,CITE ENNAKHIL 1,CITE ENNAKHIL 1,EZZAHRA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2034,CITE ENNAKHIL 2,CITE ENNAKHIL 2,EZZAHRA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2065,CITE ENNASR,CITE ENNASR,EZZAHRA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2034,CITE ERRACHID,CITE ERRACHID,EZZAHRA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2034,CITE ERRIADH,CITE ERRIADH,EZZAHRA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2034,CITE HEDI KHFACHA,CITE HEDI KHFACHA,EZZAHRA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2034,CITE IMEN,CITE IMEN,EZZAHRA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2034,CITE INDUSTRIELLE,CITE INDUSTRIELLE,EZZAHRA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2034,CITE MRAD 1,CITE MRAD 1,EZZAHRA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2034,CITE MRAD 2,CITE MRAD 2,EZZAHRA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2034,CITE PANORAMA,CITE PANORAMA,EZZAHRA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2034,EZZAHRA,EZZAHRA,EZZAHRA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2065,EZZAHRA EL HABIB,EZZAHRA EL HABIB,EZZAHRA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1135,BIR ZENDALA,BIR ZENDALA,FOUCHANA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1135,CHEBEDDA,CHEBEDDA,FOUCHANA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2082,CITE 20 MARS,CITE 20 MARS,FOUCHANA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2082,CITE BRIM,CITE BRIM,FOUCHANA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2082,CITE CHEBBI,CITE CHEBBI,FOUCHANA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2082,CITE EL AMEL,CITE EL AMEL,FOUCHANA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2082,CITE EL AMEL 2,CITE EL AMEL 2,FOUCHANA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2082,CITE EL BANEFSEJ,CITE EL BANEFSEJ,FOUCHANA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2082,CITE EL FATEH,CITE EL FATEH,FOUCHANA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2082,CITE EL HANA,CITE EL HANA,FOUCHANA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2082,CITE EL HIDHAB,CITE EL HIDHAB,FOUCHANA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2082,CITE EL IZDIHAR,CITE EL IZDIHAR,FOUCHANA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2082,CITE EL MISK,CITE EL MISK,FOUCHANA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2082,CITE EL MOUSTAKBEL,CITE EL MOUSTAKBEL,FOUCHANA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2082,CITE EL WARD,CITE EL WARD,FOUCHANA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2082,CITE EL WIFAK,CITE EL WIFAK,FOUCHANA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2082,CITE ENNASR,CITE ENNASR,FOUCHANA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2082,CITE ENNOUZHA,CITE ENNOUZHA,FOUCHANA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2082,CITE ERRIADH,CITE ERRIADH,FOUCHANA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2082,CITE EZZITOUN 1,CITE EZZITOUN 1,FOUCHANA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2082,CITE KHOUAJA,CITE KHOUAJA,FOUCHANA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2082,CITE SNIT,CITE SNIT,FOUCHANA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2082,CITE TRABELSI,CITE TRABELSI,FOUCHANA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1135,DOUAR EL HOUCH,DOUAR EL HOUCH,FOUCHANA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2082,EL MENAYCHIA,EL MENAYCHIA,FOUCHANA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2082,FOUCHANA,FOUCHANA,FOUCHANA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2082,MEGHIRA CENTRE,MEGHIRA CENTRE,FOUCHANA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2082,MEGHIRA INZEL,MEGHIRA INZEL,FOUCHANA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1135,NAASSEN,NAASSEN,FOUCHANA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2082,ZONE INDUSTRIELLE EL MEGHIRA,ZONE INDUSTRIELLE EL MEGHIRA,FOUCHANA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2055,BIR EL BEY,BIR EL BEY,HAMMAM CHATT,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2084,BORJ CEDRIA,BORJ CEDRIA,HAMMAM CHATT,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1164,HAMMAM CHATT,HAMMAM CHATT,HAMMAM CHATT,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2093,BOU KORNINE,BOU KORNINE,HAMMAM LIF,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2050,CITE 7 NOVEMBRE,CITE 7 NOVEMBRE,HAMMAM LIF,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2093,CITE BOU KORNINE 2,CITE BOU KORNINE 2,HAMMAM LIF,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2099,CITE BOUSSOUFFARA,CITE BOUSSOUFFARA,HAMMAM LIF,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2050,CITE CASINO,CITE CASINO,HAMMAM LIF,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2050,CITE DAR EL BEY,CITE DAR EL BEY,HAMMAM LIF,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2050,CITE DE LA MUNICIPALITE,CITE DE LA MUNICIPALITE,HAMMAM LIF,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2050,CITE DES INSTITUTEURS,CITE DES INSTITUTEURS,HAMMAM LIF,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2050,CITE DES OUVRIERS,CITE DES OUVRIERS,HAMMAM LIF,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2050,CITE ENNAHDHA,CITE ENNAHDHA,HAMMAM LIF,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2050,CITE ENNASR,CITE ENNASR,HAMMAM LIF,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2050,CITE ENNOUZHA,CITE ENNOUZHA,HAMMAM LIF,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2050,CITE ESSANAOUBRIA,CITE ESSANAOUBRIA,HAMMAM LIF,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2050,CITE HACHED,CITE HACHED,HAMMAM LIF,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2050,CITE KORTOBA,CITE KORTOBA,HAMMAM LIF,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2050,CITE MONGI SLIM,CITE MONGI SLIM,HAMMAM LIF,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2050,CITE OFFICE CEREALE,CITE OFFICE CEREALE,HAMMAM LIF,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2050,CITE THERMALE,CITE THERMALE,HAMMAM LIF,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2050,HAMMAM LIF,HAMMAM LIF,HAMMAM LIF,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2014,CITE FOUNIZ,CITE FOUNIZ,MEGRINE,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2033,MEGRINE,MEGRINE,MEGRINE,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2024,MEGRINE CHAKER,MEGRINE CHAKER,MEGRINE,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2033,MEGRINE COTEAU,MEGRINE COTEAU,MEGRINE,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2024,MEGRINE JAOUHARA,MEGRINE JAOUHARA,MEGRINE,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2014,MEGRINE RIADH,MEGRINE RIADH,MEGRINE,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2033,MEGRINE SUPERIEUR,MEGRINE SUPERIEUR,MEGRINE,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2014,SAINT GOBIN,SAINT GOBIN,MEGRINE,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2033,SIDI REZIG,SIDI REZIG,MEGRINE,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2014,ZONE INDUSTRIELLE SAINT GOBIN,ZONE INDUSTRIELLE SAINT GOBIN,MEGRINE,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE BOU AKROUCHA,CITE BOU AKROUCHA,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE BOURBAI,CITE BOURBAI,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE CEBBALET CHIKH,CITE CEBBALET CHIKH,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE CHAABANE,CITE CHAABANE,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE CHEBBI,CITE CHEBBI,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE DE LA CARRIERE 1,CITE DE LA CARRIERE 1,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE DE LA CARRIERE 2,CITE DE LA CARRIERE 2,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE DU LYCEE,CITE DU LYCEE,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE EL AMEN,CITE EL AMEN,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE EL ATIQ,CITE EL ATIQ,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE EL BACCOUCH,CITE EL BACCOUCH,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE EL BASSATINE,CITE EL BASSATINE,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE EL ELMI 1,CITE EL ELMI 1,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE EL ELMI 2,CITE EL ELMI 2,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE EL HADDAD,CITE EL HADDAD,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE EL HANA,CITE EL HANA,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE EL KSAR,CITE EL KSAR,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE EL OMRI 1,CITE EL OMRI 1,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE EL OMRI 2,CITE EL OMRI 2,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE ELLOUATA,CITE ELLOUATA,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE ENNACIM 1,CITE ENNACIM 1,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE ENNACIM 2,CITE ENNACIM 2,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE ENNASR,CITE ENNASR,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE ENNOUZHA,CITE ENNOUZHA,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE ERRIADH,CITE ERRIADH,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE ESSAADA 1,CITE ESSAADA 1,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE ESSAADA 2,CITE ESSAADA 2,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE ESSAADA 3,CITE ESSAADA 3,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE ESSALEM,CITE ESSALEM,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE ETTAYARI,CITE ETTAYARI,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE ETTOUAHRIA,CITE ETTOUAHRIA,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE EZZITOUN 2,CITE EZZITOUN 2,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE FATTOUMA BOURGUIBA,CITE FATTOUMA BOURGUIBA,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE HACHED 1,CITE HACHED 1,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE HACHED 2,CITE HACHED 2,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE JAOUHARA,CITE JAOUHARA,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE JARDINS,CITE JARDINS,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE MONGI SLIM 1,CITE MONGI SLIM 1,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE MONGI SLIM 2,CITE MONGI SLIM 2,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE OUDHNA,CITE OUDHNA,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE TAIEB MHIRI,CITE TAIEB MHIRI,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,CITE TNICH,CITE TNICH,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,MOHAMADIA,MOHAMADIA,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,RESIDENCE EL FERDAOUS,RESIDENCE EL FERDAOUS,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,RESIDENCE EL MOUSTAKBEL,RESIDENCE EL MOUSTAKBEL,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,RESIDENCE EL OUNS,RESIDENCE EL OUNS,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1145,RESIDENCE ETTAOUFIK,RESIDENCE ETTAOUFIK,MOHAMADIA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2090,AHMED ZAIED,AHMED ZAIED,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2054,AIN REGAD,AIN REGAD,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2054,BARROUTA,BARROUTA,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2090,BEN NOUIJI,BEN NOUIJI,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2054,BIR JEDID,BIR JEDID,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2090,BORJ ESSOUFI,BORJ ESSOUFI,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2090,BOU JERDGA,BOU JERDGA,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2090,CHALA,CHALA,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2090,CHAMINE,CHAMINE,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2064,CITE AIR NOUVELLE,CITE AIR NOUVELLE,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2090,CITE ENNASR,CITE ENNASR,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2064,CITE ETTAYARANE,CITE ETTAYARANE,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2090,DOUAR LA PORTE,DOUAR LA PORTE,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2090,DOUAR SALEM,DOUAR SALEM,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2064,EL ABEBSA,EL ABEBSA,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2090,EL ALELGUA,EL ALELGUA,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2090,EL ARABA,EL ARABA,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2064,EL FENDRIA,EL FENDRIA,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2054,EL GOUNNA,EL GOUNNA,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2090,EL HAOUAMED,EL HAOUAMED,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2064,EL KABOUTI,EL KABOUTI,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2090,EL KSIBI,EL KSIBI,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2044,ERRISSALA,ERRISSALA,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2090,ETTIAYRA,ETTIAYRA,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2090,FERME MARQUEE,FERME MARQUEE,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2090,HENCHIR BOUCHTA,HENCHIR BOUCHTA,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2090,HENCHIR EL GHOBAR,HENCHIR EL GHOBAR,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2054,HENCHIR KHARROUBA,HENCHIR KHARROUBA,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2090,HENCHIR KHELIL,HENCHIR KHELIL,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2090,HUILERIE BAYREM,HUILERIE BAYREM,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2064,JEBEL ERSASS,JEBEL ERSASS,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2064,JOURJOU,JOURJOU,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2054,KHELIDIA,KHELIDIA,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2054,KOUENJEL,KOUENJEL,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2064,MIRGHNA,MIRGHNA,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2090,MORNAG,MORNAG,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2090,OUZRA,OUZRA,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2054,SIDI MESSAOUD,SIDI MESSAOUD,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2054,SIDI OTHMAN LANDARI,SIDI OTHMAN LANDARI,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2090,SIDI SAAD,SIDI SAAD,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2064,SIDI SALEM EL GARCI,SIDI SALEM EL GARCI,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2054,SONDAGE,SONDAGE,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2090,TARHOUNA 1,TARHOUNA 1,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2090,TARHOUNA 2,TARHOUNA 2,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2090,ZAOUIT MORNAG,ZAOUIT MORNAG,MORNAG,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2096,EL YASMINETTE,EL YASMINETTE,NOUVELLE MEDINA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2063,NOUVELLE MEDINA,NOUVELLE MEDINA,NOUVELLE MEDINA,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2040,CHOUCHET RADES,CHOUCHET RADES,RADES,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1125,CITE 20 MARS,CITE 20 MARS,RADES,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2098,CITE EL EZZ,CITE EL EZZ,RADES,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1125,CITE ENNOUR,CITE ENNOUR,RADES,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2040,CITE MOHAMED ALI,CITE MOHAMED ALI,RADES,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2098,CITE NOUVELLE,CITE NOUVELLE,RADES,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2040,CITE RADES 2,CITE RADES 2,RADES,BEN AROUS,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
