numero_permis,n_occurrences,is_suspect
24/6456,8,False
24/06456,8,False
01/372475,8,False
18/37679,8,False
01/136816,8,False
15/25450,8,False
02/260940,8,False
01/125399,8,False
10/35292,8,False
07/45899,8,False
23/72820,8,False
24/105161,8,False
01/207119,8,False
02/229766,8,False
14/90735,8,False
24/62477,8,False
24/85415,8,False
02/315371,8,False
01/449012,8,False
01/350372,8,False
24/44390,8,False
24/100974,8,False
01/338138,8,False
22/145006,8,False
23/169922,8,False
02/215108,8,False
04/98647,8,False
24/159947,8,False
02/177000,8,False
09/234167,8,False
24/36229,7,False
01/272734,7,False
01/484583,7,False
08/45217,7,False
23/48523,7,False
22/40404,7,False
01/336068,7,False
01/436562,7,False
02/93512,7,False
00399520,7,False
00/399520,7,False
00/384592,7,False
08/58671,7,False
08/74521,7,False
22/6182,7,False
23/103964,7,False
23/3909,7,False
01/381154,7,False
12/21211,7,False
02/123381,7,False
01/76598,7,False
01/275374,7,False
23/26226,7,False
01/15958,7,False
23/132139,7,False
02/121685,7,False
24/12799,7,False
00/441203,7,False
22/67920,7,False
01/7902,7,False
24/8608,7,False
01/269761,7,False
01/505444,7,False
09/105070,7,False
07/113903,7,False
00/444765,7,False
01/193490,7,False
23/55266,7,False
00/279092,7,False
15/15025,7,False
22/67253,7,False
01/63354,7,False
24/124700,7,False
01/258287,7,False
09/9859,7,False
03/61516,7,False
01/359180,7,False
01/512015,7,False
00/399865,7,False
11/33028,7,False
09/73802,7,False
01/374834,7,False
02/21969,7,False
23/112198,7,False
02/247180,7,False
01/475032,7,False
01/104287,7,False
02/98063,7,False
01/499351,7,False
01/514160,7,False
02/1256,7,False
02/7726,7,False
01/484780,7,False
01/362944,7,False
09/153855,7,False
01/12449,7,False
23/141102,7,False
02/36245,7,False
01/50916,7,False
02/341582,7,False
00/111111,7,False
01/17214,7,False
02/220762,7,False
18/36238,7,False
02/110955,7,False
01/447658,7,False
01/233474,7,False
23/185247,7,False
24/72083,7,False
22/48315,7,False
01/205126,7,False
03/2555,7,False
02/64566,7,False
01/352263,7,False
01/0101010,7,False
02/3929,7,False
01/238348,7,False
24/113142,7,False
02/252469,7,False
02/179917,7,False
23/149131,7,False
01/179075,7,False
23/173353,7,False
00/243481,7,False
13/8066,7,False
01/335610,7,False
13/51076,7,False
02/233710,7,False
23/141343,7,False
02/59741,7,False
01/355921,7,False
01/361285,7,False
22/136992,7,False
01/548212,7,False
23/39534,7,False
09/240472,7,False
01/82422,7,False
04/129299,7,False
12/22700,7,False
01/88987,7,False
01/211880,7,False
01/376513,7,False
23/65956,7,False
17/11420,7,False
01/304520,7,False
01/493846,7,False
01/502075,7,False
01/48231,7,False
22/112257,7,False
01/409650,7,False
14/51267,7,False
01/101309,7,False
24/43438,7,False
01/358647,7,False
23/25618,7,False
01/433762,7,False
00/455997,7,False
12/000000,7,False
24/26759,7,False
01/88786,7,False
02/99914,7,False
03/109468,7,False
02/98744,7,False
23/45870,7,False
01/346509,7,False
21/30945,7,False
